window_id,window_start_utc,window_end_utc,product_id,depth,target_samples,successful_samples,failed_samples,imbalance_mean,imbalance_median,imbalance_min,imbalance_max,bid_volume_mean,ask_volume_mean,notes
btc_usd_d10_20260702T040559Z,2026-07-02T04:05:59.667769Z,2026-07-02T05:04:59.791916Z,BTC-USD,10,60,60,0,-0.098373918483,-0.125878752398,-0.915391292343,0.737802934676,0.616271601,1.003163867833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260702T081520Z,2026-07-02T08:15:20.816672Z,2026-07-02T09:14:21.948842Z,BTC-USD,10,60,60,0,-0.04315383827,-0.12261013244,-0.733804541415,0.780702866398,0.632784953167,0.706093217,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260702T113839Z,2026-07-02T11:38:39.598380Z,2026-07-02T12:37:39.714328Z,BTC-USD,10,60,60,0,0.084493821227,0.139951459455,-0.704548700625,0.960049895071,1.940349124,0.681651586333,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260702T141833Z,2026-07-02T14:18:33.520103Z,2026-07-02T15:17:33.587354Z,BTC-USD,10,60,60,0,-0.055622214941,0.007201705531,-0.912134704578,0.907481571105,0.7189726385,0.9196255795,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260702T165518Z,2026-07-02T16:55:18.252127Z,2026-07-02T17:54:18.320161Z,BTC-USD,10,60,60,0,-0.038366778158,-0.140012223935,-0.859270054704,0.894692236434,0.565741023,0.686952897833,hourly window sampler; minute rows are collected live during the run
btc_usd_d10_20260702T183951Z,2026-07-02T18:39:51.805481Z,2026-07-02T19:38:52.422263Z,BTC-USD,10,60,60,0,-0.130996463279,-0.145692679239,-0.773711176333,0.955471254353,0.868674210667,1.101977388167,hourly window sampler; minute rows are collected live during the run
